x-axis,F1
Hertz,dBV
+75.300E+03,-39.68689E+00
+75.400E+03,-39.68689E+00
+75.500E+03,-39.68689E+00
+75.600E+03,-38.40001E+00
+75.700E+03,-39.68689E+00
+75.800E+03,-39.68689E+00
+75.900E+03,-39.29282E+00
+76.000E+03,-39.68689E+00
+76.100E+03,-38.16133E+00
+76.200E+03,-39.68689E+00
+76.300E+03,-39.68689E+00
+76.400E+03,-39.68689E+00
+76.500E+03,-39.68689E+00
+76.600E+03,-36.50308E+00
+76.700E+03,-39.68689E+00
+76.800E+03,-38.88062E+00
+76.900E+03,-39.68689E+00
+77.000E+03,-39.68689E+00
+77.100E+03,-39.68689E+00
+77.200E+03,-39.68689E+00
+77.300E+03,-39.68689E+00
+77.400E+03,-39.68689E+00
+77.500E+03,-39.68689E+00
+77.600E+03,-39.68689E+00
+77.700E+03,-39.61310E+00
+77.800E+03,-38.14850E+00
+77.900E+03,-39.68689E+00
+78.000E+03,-39.68689E+00
+78.100E+03,-39.68689E+00
+78.200E+03,-39.68689E+00
+78.300E+03,-39.68689E+00
+78.400E+03,-39.68689E+00
+78.500E+03,-39.68689E+00
+78.600E+03,-39.68689E+00
+78.700E+03,-39.68689E+00
+78.800E+03,-39.68689E+00
+78.900E+03,-39.68689E+00
+79.000E+03,-39.68689E+00
+79.100E+03,-39.68689E+00
+79.200E+03,-39.68689E+00
+79.300E+03,-39.68478E+00
+79.400E+03,-38.51683E+00
+79.500E+03,-39.68689E+00
+79.600E+03,-39.68689E+00
+79.700E+03,-39.68689E+00
+79.800E+03,-39.68689E+00
+79.900E+03,-39.68689E+00
+80.000E+03,-39.68689E+00
+80.100E+03,-39.68689E+00
+80.200E+03,-37.07983E+00
+80.300E+03,-39.68689E+00
+80.400E+03,-39.68689E+00
+80.500E+03,-39.08077E+00
+80.600E+03,-39.68689E+00
+80.700E+03,-39.68689E+00
+80.800E+03,-39.66635E+00
+80.900E+03,-39.68689E+00
+81.000E+03,-39.02062E+00
+81.100E+03,-39.50491E+00
+81.200E+03,-38.60825E+00
+81.300E+03,-39.68689E+00
+81.400E+03,-39.68689E+00
+81.500E+03,-37.34486E+00
+81.600E+03,-39.68689E+00
+81.700E+03,-39.29558E+00
+81.800E+03,-39.68689E+00
